EnsemblID	GeneName	KO1_L	KO1_L_M	KO8_L	KO8_L_M	WT3_L	WT3_L_M	WT4_L	WT4_L_M	KO1_L_G	KO1_L_M_G	KO8_L_G	KO8_L_M_G	WT3_L_G	WT3_L_M_G	WT4_L_G	WT4_L_M_G
ENSMUSG00000000001.4	Gnai3	7434	875	7581	917	3868	383	5883	754	9119	2314	8700	1953	4686	1068	7271	2033
ENSMUSG00000000003.15	Pbsn	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0
ENSMUSG00000000028.15	Cdc45	3523	739	3724	619	2536	493	2955	611	4655	1691	4443	1252	3246	1070	3876	1439
ENSMUSG00000000031.16	H19	8309	355	3947	225	455	28	2949	168	8309	355	3947	225	455	28	2949	168
ENSMUSG00000000037.17	Scml2	1662	400	842	133	255	71	420	81	2470	1060	1099	358	682	204	627	266
ENSMUSG00000000049.11	Apoh	0	0	2	0	0	0	0	0	10	3	9	5	72	0	1	1
ENSMUSG00000000056.7	Narf	1062	163	1116	120	571	74	773	103	1178	262	1184	178	615	107	827	147
ENSMUSG00000000058.6	Cav2	33	3	53	15	2	0	8	0	39	9	59	16	14	0	14	6
ENSMUSG00000000078.7	Klf6	4222	3145	3970	3006	1214	869	2402	1796	4478	3360	4222	3240	1275	923	2500	1891
ENSMUSG00000000085.16	Scmh1	785	302	843	333	344	135	772	293	2657	1899	2614	1905	1293	786	2578	1944
ENSMUSG00000000088.7	Cox5a	2787	268	2983	245	1402	135	2620	294	3282	706	3315	547	1696	386	3016	664
ENSMUSG00000000093.6	Tbx2	10	5	13	10	12	4	15	6	17	8	22	17	27	12	16	7
ENSMUSG00000000094.12	Tbx4	11	2	30	16	4	0	24	15	48	35	82	48	22	8	71	57
ENSMUSG00000000103.12	Zfy2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	3
ENSMUSG00000000120.6	Ngfr	1493	343	1208	300	1235	280	1645	432	1870	653	1462	509	1596	568	2080	831
ENSMUSG00000000125.5	Wnt3	236	120	101	40	6	2	68	34	652	446	266	173	48	24	256	194
ENSMUSG00000000126.11	Wnt9a	130	64	63	37	18	9	22	10	296	197	146	100	48	20	96	67
ENSMUSG00000000127.15	Fer	2022	396	1786	223	1429	247	1821	324	5744	3535	3667	1886	3509	1659	4567	2776
ENSMUSG00000000131.15	Xpo6	8671	3005	6420	1907	4943	1456	7662	2668	14836	8411	10030	5186	8320	4346	12736	7346
ENSMUSG00000000134.17	Tfe3	5476	1870	5607	1766	4306	1389	6742	2332	5795	2135	5888	2010	4474	1533	7060	2610
