EnsemblID	GeneName	KO_L_G-WT_L_G_log2FC	KO_L_G-WT_L_G_padj	KO_L_M_G-WT_L_M_G_log2FC	KO_L_M_G-WT_L_M_G_padj	KO_L_M-WT_L_M_log2FC	KO_L_M-WT_L_M_padj	KO_L-WT_L_log2FC	KO_L-WT_L_padj
ENSMUSG00000000001.4	Gnai3	0.32034058534531	0.112080167605908	0.256936501030263	0.412997632305998	0.401379924010232	0.23375923247669	0.273874419268758	0.160885182319226
ENSMUSG00000000028.15	Cdc45	0.0692417018267528	0.830716083132664	-0.0394746114109213	0.954866201168088	-0.0394656494990429	0.965006981606229	0.0173310646843506	0.968919324351196
ENSMUSG00000000031.16	H19	1.70140314276691	0.366032467643032	1.50263958185615	0.0814084564031067	1.47097706229397	0.474056954695401	1.64907991392684	0.381505262869075
ENSMUSG00000000037.17	Scml2	1.11436456388916	0.0489008352165484	1.28675310208735	0.0468341540448878	1.447903199075	0.0648881791998311	1.55028835990303	0.000154238512126893
ENSMUSG00000000056.7	Narf	0.442430899269444	0.0886272569306772	0.528590041020713	0.418703804175906	0.363063956432488	0.719662590994983	0.333582871979361	0.204318882278535
ENSMUSG00000000078.7	Klf6	0.973822683544569	0.000194294609921514	1.04462903147224	1.20420759890451e-07	0.960544169120657	9.07305368536837e-07	0.863212934928211	0.000325511339743328
ENSMUSG00000000085.16	Scmh1	0.217648386883644	0.619645081845048	0.327383614642669	0.510663542894315	0.328323623420079	0.60915289358763	0.24188778810669	0.642691661376741
ENSMUSG00000000088.7	Cox5a	0.24630103024474	0.463709952461761	0.0307084221449435	0.96323477738657	0.015377550656648	0.98926641729726	0.197392687892898	0.560577788297924
ENSMUSG00000000094.12	Tbx4	1	1	0.325354022365132	0.885419980964581	1	1	1	1
ENSMUSG00000000120.6	Ngfr	-0.42119669318102	0.0927800792390128	-0.518855642985162	0.0919656272369115	-0.444195877674052	0.278814816709603	-0.458714484353941	0.0763802636100489
ENSMUSG00000000125.5	Wnt3	1.42763463106603	0.206345392612049	1.46619005652138	0.584323011595399	2.12002124460297	0.562766490205801	2.01280596556831	0.40261038093633
ENSMUSG00000000126.11	Wnt9a	1.36900354131477	0.0632586538014924	1.61795846697393	0.0316759939006577	2.07707554791457	0.0522139028704462	1	1
ENSMUSG00000000127.15	Fer	-0.0645697559771338	0.905279189441327	0.0442868333946465	0.961046672418542	-0.216905937919803	0.830717729421458	-0.142837508790845	0.646521453844553
ENSMUSG00000000131.15	Xpo6	-0.0257293959178051	0.963667572210347	-0.0197672554418763	0.977544085880847	-0.0201835748326752	0.984754451530721	-0.0873884765209628	0.840449737905411
ENSMUSG00000000134.17	Tfe3	-0.233142668341881	0.350901627967261	-0.217067767112475	0.461260605461281	-0.316138316394711	0.247420254043661	-0.340604609228285	0.0761348233767549
ENSMUSG00000000142.15	Axin2	0.995024507617657	0.0562218419535947	1.26347688444506	0.00540423891484718	1.15982706382716	0.0217527322869949	0.868757292637139	0.100300584696448
ENSMUSG00000000148.17	Brat1	0.39523653758455	0.420638164757779	0.285998105745203	0.590494372138576	0.336612222850168	0.621240557250994	0.455573626782445	0.362338450411383
ENSMUSG00000000149.10	Gna12	0.53181497567942	0.193240536015685	0.40934732376846	0.492888380941192	0.783057428261584	0.105466175814754	0.614503621833381	0.0530102835101516
ENSMUSG00000000154.16	Slc22a18	-1.09494991513542	0.0190008976560695	-1.17031028074817	0.0109855267166216	1	1	1	1
ENSMUSG00000000167.14	Pih1d2	-0.558255843207855	0.364171568856529	-0.654200616289306	0.447807439394276	-0.717520019339691	0.529555001736923	-0.452941330122989	0.494012235113568
ENSMUSG00000000168.9	Dlat	0.13956476121159	0.621361759079511	0.13689347385328	0.723426002418881	0.0746098987443793	0.928308487027237	0.0562147849939546	0.867647226238409
ENSMUSG00000000171.5	Sdhd	0.106159144451184	0.804715446677927	0.0371782974482778	0.958002220167814	-0.0215244604623292	0.98256923033626	0.0150919498739507	0.974366815811455
ENSMUSG00000000184.12	Ccnd2	-0.702515439150012	0.0966358322124695	-0.73216694707502	0.301281580996664	-0.642270933089089	0.457341671652292	-0.755170897779162	0.0194674884340654
ENSMUSG00000000194.13	Gpr107	-0.169802574597767	0.597085769526531	-0.243870804544564	0.408880894585552	-0.189528223636349	0.707334643277859	-0.134411613231993	0.656181902577875
ENSMUSG00000000197.8	Nalcn	-0.655207663630039	0.278796266651463	-0.258806307710419	0.695714733954693	1	1	-0.157315210435761	0.862657796169217
ENSMUSG00000000223.13	Drp2	0.0522437521391302	0.972618913740753	-0.325527860418527	0.811914999260524	-0.814128990531799	0.655653566733901	0.157050883517386	0.916206158543233
ENSMUSG00000000244.17	Tspan32	1.10005929627195	0.139786224479628	1.23153150279071	0.0563241353087411	1.36209601779453	0.0964978716917185	1.13156612544742	0.100623901328025
ENSMUSG00000000253.13	Gmpr	0.392925784957426	0.487106804340355	0.369065004639852	0.64570951620987	0.377721877942204	0.835028182435154	0.58022642032716	0.243369147618647
ENSMUSG00000000266.11	Mid2	0.174642191643827	0.918579229199812	1.48953735082171	0.142444203215498	1	1	1	1
ENSMUSG00000000275.16	Trim25	-0.29250097800796	0.410578870296779	-0.164784674798267	0.788493373053646	-0.260602138013623	0.66736777797125	-0.423344635401691	0.229349323355481
ENSMUSG00000000276.11	Dgke	0.063794474148791	0.922972078980317	0.0354558219452406	0.969944263576222	0.0892926161054682	0.929904382116304	0.0950095407119993	0.881970846512732
ENSMUSG00000000278.10	Scpep1	-0.215870448451597	0.32448079819807	-0.424469026469317	0.17077668343433	-0.330992000304854	0.495190093754595	-0.236771146820515	0.367300049140975
ENSMUSG00000000282.12	Mnt	-0.264999355904418	0.253007242587637	-0.235415889491438	0.58517330673852	-0.326328674500711	0.408240842344901	-0.402869471313178	0.05654148772771
ENSMUSG00000000295.13	Hddc2	-0.00771677608580973	0.991457867564972	-0.16971189702555	0.8393208887144	-0.107477978916723	0.936134447877022	-0.0560739546129161	0.919587581685908
ENSMUSG00000000296.8	Tpd52l1	0.1082795639361	0.806815223003754	0.191757299786337	0.76807160367525	0.772391015116051	0.515968698056031	0.627218288496494	0.208548778846677
ENSMUSG00000000301.16	Pemt	0.162106966247198	0.792656580766303	0.0162507138048854	0.985399073659376	1	1	0.78213278734226	0.338018132680294
ENSMUSG00000000303.12	Cdh1	0.00673052479521483	0.985395108785768	-0.120962816290989	0.738203168032708	-0.172219623189976	0.671534828099928	-0.0566883951103021	0.871941726590474
ENSMUSG00000000305.12	Cdh4	-0.992166018254537	0.00551061582325181	-1.02172849521778	0.00565033618272696	-1.61298059489905	0.0455864706479399	-0.683454800162786	0.166315922111783
ENSMUSG00000000308.14	Ckmt1	-0.353982562254032	0.480951265307208	-0.0958277088137109	0.938484926871118	-0.299167691005899	0.820721295489001	-0.467175042386549	0.293428409944282
ENSMUSG00000000317.11	Bcl6b	-0.0802038998822474	0.926265562990161	-0.0988492931430329	0.91847132480246	-0.150192948937288	0.879795491290418	-0.133777472760742	0.843694966007532
ENSMUSG00000000320.10	Alox12	-1.00469816592011	0.129593563616699	1	1	1	1	-1.00087844914916	0.117343709316505
ENSMUSG00000000325.16	Arvcf	0.159630192433875	0.705304775607661	0.187050280762064	0.78203957004595	0.12505002017186	0.87761090651441	0.0915270307750539	0.818117409081386
ENSMUSG00000000326.13	Comt	0.271377326925115	0.579141553737974	0.039282618930663	0.969694084950333	0.183575207522296	0.870790370253663	0.322302003531346	0.420721755191515
ENSMUSG00000000339.14	Rtca	0.218681711416743	0.335398102696318	0.204360906409693	0.618931405269295	0.263566688186777	0.709574698982525	0.16088088673522	0.525305835095816
ENSMUSG00000000340.10	Dbt	-0.0575519023806502	0.895361519509333	-0.156827691122122	0.811275546062817	-0.0486884618146729	0.959634584229556	-0.111329145801908	0.789147241964087
ENSMUSG00000000346.9	Dazap2	0.143934555643422	0.797908872194372	0.185318968269905	0.793100598186047	0.146806286529148	0.852940599968053	0.0660199175884841	0.905464013009705
ENSMUSG00000000355.13	Mcts1	-0.29817610176801	0.441720228566518	-0.123483496227376	0.851872934031117	-0.167543962176597	0.852940599968053	-0.44363146668598	0.256096129218899
ENSMUSG00000000365.9	Rnf17	-0.493251016441221	0.000978039401375185	-0.499628869680075	0.0146582990161014	-0.567920861430595	0.0220044051725928	-0.569958890984033	0.0506805873835435
ENSMUSG00000000374.8	Trappc10	-0.0332102436365656	0.941813495681248	0.0709323483765855	0.894138938540471	0.172480062598382	0.803183187563136	-0.0455403277781767	0.92037334081721
ENSMUSG00000000378.15	Ccm2	0.356607210424988	0.296679803563148	0.12693963050997	0.812619199106453	0.580297868467767	0.265786334536958	0.655452295943197	0.00533590135928111
ENSMUSG00000000384.15	Tbrg4	0.202222240573275	0.386411290106701	0.159823119577205	0.641615030584302	0.090752267615536	0.849375852812624	0.116054186889047	0.645765271347938
ENSMUSG00000000399.10	Ndufa9	0.0614375611806826	0.875758994469741	-0.172874786462683	0.680255735090457	-0.0646302377519567	0.947703016019691	0.0577844340525004	0.87914953925192
ENSMUSG00000000402.2	Egfl6	1.8702165184781	8.5215497485311e-06	2.00037883732499	2.20138519395409e-05	2.73352348870466	0.000124055360875324	2.09234114954162	5.17549463050607e-05
ENSMUSG00000000409.14	Lck	0.0356617724020694	0.975849907842637	0.112831391129743	0.939113783485468	0.261159559763329	0.875977501883597	0.0114133194481164	0.991629058701213
ENSMUSG00000000416.16	Cttnbp2	0.225497406844767	0.858463977664819	0.645549313920452	0.52889224610299	0.808223714788721	0.578631404736653	0.725753307126166	0.411713981295095
ENSMUSG00000000420.15	Galnt1	0.0688795433105238	0.866885233753026	-0.00191845120141075	0.99741114786342	0.0847963830811208	0.917532335195759	0.0461265034320169	0.924771779994551
ENSMUSG00000000439.9	Mkrn2	0.16835144607838	0.588209562126565	-0.00266980707381477	0.996612307517076	-0.0872470537499956	0.921827019287056	0.104030807221214	0.768923659314866
ENSMUSG00000000441.17	Raf1	-0.0516351249732729	0.846691759260995	-0.153379853192779	0.662519263891733	-0.154258082360616	0.749000385828526	-0.0773466690144934	0.775353170487164
ENSMUSG00000000486.13	Septin1	0.811041919363293	0.0821022686655617	0.463634850350636	0.229784723155522	0.911449405727343	0.469188247161808	0.902200110118146	0.352269864521455
ENSMUSG00000000489.7	Pdgfb	1.29022524294281	0.0748609509263277	1.10717187331077	0.049805714946906	0.92930857521785	0.345099403969242	1.29642369503307	0.0992375849073638
ENSMUSG00000000530.16	Acvrl1	-1.40682783324985	0.0801622265951086	-1.39277356653839	0.251001881024019	1	1	1	1
ENSMUSG00000000531.5	Grasp	-0.655872431576607	0.0260924078961233	-0.748087190760018	0.0818473621066442	-0.869851722554162	0.0522139028704462	-0.750134410084938	0.00940754774007087
ENSMUSG00000000532.11	Acvr1b	-0.384590151540695	0.288646575963462	-0.516867905214008	0.244792438752523	-0.117159239137613	0.89646355096291	-0.24524462108399	0.476421733612436
ENSMUSG00000000538.18	Tom1l2	0.0997504784128711	0.900389756655497	0.116272689798918	0.902145876052763	0.174877946489941	0.885170607541351	0.506118610962143	0.389451889086182
